covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
rap_mean_3h,-3.5860221426105343,0.027708331284681604,1.0749682132754377,-5.692921125155763,-1.479123160065305,0.003369735160294371,0.22783737773463375,0.0,-3.335933191627958,0.0008501359104226052,10.200018877571443
icp_mean_3h,0.03504319649900457,1.0356644449115582,0.04260447201079697,-0.048460034222502266,0.11854642722051141,0.9526954137579215,1.1258591433993324,0.0,0.8225239005455531,0.41077878970502935,1.2835664039259027
cpp_mean_3h,0.03233150923823683,1.0328598511390363,0.02216135797059267,-0.011103954232624468,0.07576697270909813,0.9889574671170154,1.078711175724129,0.0,1.4589137218549326,0.14458885590624562,2.789971733112587
map_mean_3h,-0.02735085417693308,0.9730197935698064,0.026731456855346687,-0.07974354686769891,0.025041838513832758,0.9233531128235946,1.0253580190826814,0.0,-1.023171102306102,0.3062269535440877,1.7073268230457004
amp_mean_3h,0.032938634194773005,1.033487116526235,0.1494644473846814,-0.2600062996483844,0.3258835680379304,0.7710467284649891,1.3852540716333646,0.0,0.22037772039525758,0.8255769954494264,0.27652532399710433
